Date,interpolated_Cum
2018/1/10,-2.10E-24
2018/1/25,-2.143641977
2018/2/9,-0.589344969
2018/2/24,-3.265016959
2018/3/11,-7.474067599
2018/3/26,-0.150691163
2018/4/10,-9.344830154
2018/4/25,-14.11734644
2018/5/10,-10.82629695
2018/5/25,-19.54778537
2018/6/9,-20.08387662
2018/6/24,-16.22577609
2018/7/9,-23.52726169
2018/7/24,-30.57688426
2018/8/8,-33.31269583
2018/8/23,-33.72183487
2018/9/7,-30.89923706
2018/9/22,-38.09386391
2018/10/7,-43.2397417
2018/10/22,-42.83588009
2018/11/6,-42.5055859
2018/11/21,-44.68345338
2018/12/6,-46.45891078
2018/12/21,-48.22943212
2019/1/5,-56.01642368
2019/1/20,-49.92946143
2019/2/4,-53.52397638
2019/2/19,-56.09642604
2019/3/6,-59.04008131
2019/3/21,-55.54477764
2019/4/5,-58.78336639
2019/4/20,-64.90106895
2019/5/5,-60.26867103
2019/5/20,-76.84047788
2019/6/4,-67.74252001
2019/6/19,-66.12651689
2019/7/4,-84.94198436
2019/7/19,-73.53674561
2019/8/3,-71.82364413
2019/8/18,-85.39528251
2019/9/2,-95.15926418
2019/9/17,-94.03976619
2019/10/2,-89.80513064
2019/10/17,-92.04274548
2019/11/1,-87.33799769
2019/11/16,-91.17978518
2019/12/1,-95.0325069
2019/12/16,-95.04239845
2019/12/31,-94.45140752
2020/1/15,-97.24270726
2020/1/30,-99.17978273
2020/2/14,-97.15684387
2020/2/29,-99.78913033
2020/3/15,-101.3735667
2020/3/30,-100.9273859
2020/4/14,-108.7357518
2020/4/29,-115.9264931
2020/5/14,-109.3486058
2020/5/29,-111.9460975
2020/6/13,-108.2532618
2020/6/28,-121.1428142
2020/7/13,-117.6987158
2020/7/28,-113.4995915
2020/8/12,-119.2669577
2020/8/27,-113.6382788
2020/9/11,-119.3237254
2020/9/26,-127.3998252
2020/10/11,-128.0666057
2020/10/26,-130.4343708
2020/11/10,-125.9667629
2020/11/25,-125.6978719
2020/12/10,-123.0894481
2020/12/25,-125.9266162
2021/1/9,-126.9362253
2021/1/24,-128.211714
2021/2/8,-131.03213
2021/2/23,-124.6450898
2021/3/10,-129.2752087
2021/3/25,-127.156207
2021/4/9,-132.7267172
2021/4/24,-133.2921032
2021/5/9,-136.2568608
2021/5/24,-145.2242969
2021/6/8,-135.9506248
2021/6/23,-150.4685747
2021/7/8,-148.2980789
2021/7/23,-143.3161248
2021/8/7,-138.3490798
2021/8/22,-136.2199982
2021/9/6,-142.0892281
2021/9/21,-142.7862783
2021/10/6,-151.7467468
2021/10/21,-152.5460911
2021/11/5,-152.553294
2021/11/20,-155.3093997
2021/12/5,-151.242672
2021/12/20,-151.741838
2022/1/4,-154.8083789
2022/1/19,-161.7862344
2022/2/3,-156.5117737
2022/2/18,-157.1710813
2022/3/5,-154.752
2022/3/20,-156.1670892
2022/4/4,-162.2152483
2022/4/19,-161.8725697
2022/5/4,-165.7821702
2022/5/19,-157.4256994
2022/6/3,-157.1346616
2022/6/18,-158.9096526
2022/7/3,-162.6017621
2022/7/18,-164.5532413
2022/8/2,-165.10846
2022/8/17,-171.6124498
2022/9/1,-178.1164396
2022/9/16,-178.8441263
2022/10/1,-178.7725244
2022/10/16,-177.9189128
2022/10/31,-178.2832212
2022/11/15,-174.6320353
2022/11/30,-178.288331
2022/12/15,-175.6028588
2022/12/30,-174.5015161
2023/1/14,-174.3726033
2023/1/29,-178.7267468
2023/2/13,-179.4118654
2023/2/28,-179.4135972
2023/3/15,-178.190376
2023/3/30,-183.032893
2023/4/14,-189.6252774
2023/4/29,-184.9481561
2023/5/14,-178.2372404
2023/5/29,-184.56583
2023/6/13,-174.2511203
2023/6/28,-176.8744837
2023/7/13,-190.8943607
2023/7/28,-196.8420862
2023/8/12,-195.0884414
2023/8/27,-193.3347967
2023/9/11,-191.1667515
2023/9/26,-186.6402892
2023/10/11,-185.2661846
2023/10/26,-188.8520897
2023/11/10,-188.6488723
